timestamp,event,message
2023-08-27 10:00:00,INFO,Rocket initialization process started.
2023-08-27 10:02:00,INFO,Power systems online. Batteries at optimal charge.
2023-08-27 10:05:00,INFO,Communication established with mission control.
2023-08-27 10:08:00,INFO,Pre-launch checklist initiated.
2023-08-27 10:10:00,INFO,Avionics check: All systems functional.
2023-08-27 10:12:00,INFO,Propulsion check: Thrusters responding as expected.
2023-08-27 10:15:00,INFO,Life support systems nominal.
2023-08-27 10:18:00,INFO,Cargo bay secured and sealed properly.
2023-08-27 10:20:00,INFO,Final system checks complete. Rocket is ready for launch.
2023-08-27 10:23:00,INFO,Countdown sequence initiated.
2023-08-27 10:25:00,INFO,Engine ignition sequence started.
2023-08-27 10:27:00,INFO,Engines at maximum thrust. Liftoff imminent.
2023-08-27 10:30:00,INFO,Liftoff! Rocket has left the launchpad.
